,model,explore,view,view_file_missing,is_orphan
88,Risk_Ops,app_risk_chargebacks,risk_ops_false_negatives,False,False
89,Risk_Ops,app_risk_chargebacks,risk_ops_true_positives,False,False
90,Risk_Ops,app_risk_chargebacks,risk_disputes,False,False
91,Risk_Ops,app_risk_chargebacks,risk_dispute_reason_code_index,False,False
92,Risk_Ops,app_risk_chargebacks,regulator_cases_bbox,False,False
93,Risk_Ops,app_risk_chargebacks,dim_client_app,True,False
94,Risk_Ops,app_risk_chargebacks,esperanto_card_ab_experiment,False,False
95,Risk_Ops,app_risk_chargebacks,owh_dim_product,True,False
96,Risk_Ops,app_risk_chargebacks,skeptic_internal_suspicions,False,False
97,Risk_Ops,app_risk_chargebacks,raw_regulator_cases,False,False
98,Risk_Ops,app_risk_chargebacks,risk_team,False,False
99,Risk_Ops,app_risk_chargebacks,employee_cash_dim,True,False
100,Risk_Ops,app_risk_chargebacks,users,False,False
101,Risk_Ops,app_risk_chargebacks,plaid_merchants,False,False
102,Risk_Ops,app_risk_chargebacks,pentagon_dim_user,True,False
103,Risk_Ops,app_risk_chargebacks,pentagon_dim_foreign_exchange_rates,True,False
104,Risk_Ops,app_risk_chargebacks,raw_cbms_disputed_payments,False,False
105,Risk_Ops,app_risk_chargebacks,riskops_trends,False,False
106,Risk_Ops,app_risk_chargebacks,owh_dim_report_period,True,False
107,Risk_Ops,app_risk_chargebacks,owh_dim_unit_gpv_segment,True,False
108,Risk_Ops,app_risk_chargebacks,owh_dim_currency,True,False
109,Risk_Ops,app_risk_chargebacks,owh_dim_unit,True,False
110,Risk_Ops,app_risk_chargebacks,owh_dim_merchant,False,False
111,Risk_Ops,app_risk_chargebacks,temp_map_us_postal_code_to_dma,True,False
112,Risk_Ops,app_risk_chargebacks,regulator_comments_sellers,False,False
113,Risk_Ops,app_risk_chargebacks,ach_earliest_payment,False,False
114,Risk_Ops,app_risk_chargebacks,rcy_debt_forgiveness,False,False
115,Risk_Ops,app_risk_chargebacks,recovery_sev_reporter,False,False
116,Risk_Ops,api_activations,owh_dim_unit,True,False
117,Risk_Ops,api_activations,risk_fake_account_merchants,False,False
118,Risk_Ops,api_activations,owh_dim_merchant,False,False
119,Risk_Ops,api_activations,temp_map_us_postal_code_to_dma,True,False
120,Risk_Ops,api_activations,partnership_fact_api_daily_processing_summary,True,False
121,Risk_Ops,api_activations,owh_dim_report_period,True,False
122,Risk_Ops,api_activations,riskops_trends,False,False
123,Risk_Ops,api_activations,risk_chargebacks,False,False
124,Risk_Ops,api_activations,pentagon_dim_foreign_exchange_rates,True,False
125,Risk_Ops,risk_fact_refunds,risk_fact_refunds,False,False
126,Risk_Ops,risk_fact_refunds,pentagon_fact_payment_transactions,True,False
127,Risk_Ops,risk_fact_refunds,pentagon_dim_foreign_exchange_rates,True,False
128,Risk_Ops,risk_fact_refunds,owh_dim_report_period,True,False
129,Risk_Ops,risk_fact_refunds,owh_dim_unit_gpv_segment,True,False
130,Risk_Ops,risk_fact_refunds,owh_dim_unit,True,False
131,Risk_Ops,risk_fact_refunds,owh_dim_merchant,False,False
132,Risk_Ops,risk_fact_refunds,temp_map_us_postal_code_to_dma,True,False
133,Risk_Ops,refunds_summary,refunds_summary,False,False
134,Risk_Ops,refunds_summary,pentagon_dim_foreign_exchange_rates,True,False
135,Risk_Ops,refunds_summary,owh_dim_report_period,True,False
136,Risk_Ops,refunds_summary,owh_dim_report_period_processed,True,False
137,Risk_Ops,refunds_summary,owh_dim_report_period_rejected,True,False
138,Risk_Ops,refunds_summary,owh_dim_unit_gpv_segment,True,False
139,Risk_Ops,refunds_summary,owh_dim_unit,True,False
140,Risk_Ops,refunds_summary,owh_dim_merchant,False,False
141,Risk_Ops,refunds_summary,temp_map_us_postal_code_to_dma,True,False
142,Risk_Ops,refunds_summary,ledger_pbs,False,False
143,Risk_Ops,refunds_summary,pentagon_aggregate_seller_lifetime_summary,True,False
144,Risk_Ops,refunds_summary,uk_risk_latest_sqrr_score,False,False
145,Risk_Ops,refunds_summary,pentagon_dim_user,True,False
146,Risk_Ops,refunds_summary,risk_chargebacks,False,False
147,Risk_Ops,riskops_trends,riskops_trends,False,False
148,Risk_Ops,riskops_trends,risk_chargebacks,False,False
149,Risk_Ops,riskops_trends,pentagon_dim_user,True,False
150,Risk_Ops,riskops_trends,risk_fake_account_merchants,False,False
151,Risk_Ops,riskops_trends,fraudops_cases,False,False
152,Risk_Ops,riskops_trends,pentagon_dim_foreign_exchange_rates,True,False
153,Risk_Ops,risk_disputes,risk_disputes,False,False
154,Risk_Ops,risk_disputes,risk_chargebacks,False,False
155,Risk_Ops,risk_disputes,pentagon_fact_payment_transactions,True,False
156,Risk_Ops,risk_disputes,risk_cases,False,False
157,Risk_Ops,risk_disputes,risk_fake_account_merchants,False,False
